id,type,category,category_ja,level,term_en,meaning_ja,example_en,tags
vocab_0001,vocabulary,risk_governance,リスク・ガバナンス,beginner,asset,資産,This asset requires follow-up by Friday.,"[""risk_governance"", ""beginner""]"
vocab_0002,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,critical asset,重要資産,We need to review the critical asset before the meeting.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0003,vocabulary,risk_governance,リスク・ガバナンス,intermediate,threat,脅威,The security team is checking the threat.,"[""risk_governance"", ""intermediate""]"
vocab_0004,vocabulary,risk_governance,リスク・ガバナンス,beginner,threat actor,脅威アクター,Please confirm the current threat actor.,"[""risk_governance"", ""beginner""]"
vocab_0005,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,attack vector,攻撃経路,Please confirm the current attack vector.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0006,vocabulary,risk_governance,リスク・ガバナンス,intermediate,attack surface,攻撃対象領域,The security team is checking the attack surface.,"[""risk_governance"", ""intermediate""]"
vocab_0007,vocabulary,risk_governance,リスク・ガバナンス,beginner,exposure,露出,This exposure requires follow-up by Friday.,"[""risk_governance"", ""beginner""]"
vocab_0008,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,vulnerability,脆弱性,Please confirm the current vulnerability.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0009,vocabulary,risk_governance,リスク・ガバナンス,intermediate,exploit,攻撃コード／悪用,We should document the exploit clearly.,"[""risk_governance"", ""intermediate""]"
vocab_0010,vocabulary,risk_governance,リスク・ガバナンス,beginner,risk,リスク,The security team is checking the risk.,"[""risk_governance"", ""beginner""]"
vocab_0011,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,inherent risk,固有リスク,Please confirm the current inherent risk.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0012,vocabulary,risk_governance,リスク・ガバナンス,intermediate,residual risk,残留リスク,We need to review the residual risk before the meeting.,"[""risk_governance"", ""intermediate""]"
vocab_0013,vocabulary,risk_governance,リスク・ガバナンス,beginner,likelihood,発生可能性,We should document the likelihood clearly.,"[""risk_governance"", ""beginner""]"
vocab_0014,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,impact,影響,This impact requires follow-up by Friday.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0015,vocabulary,risk_governance,リスク・ガバナンス,intermediate,risk rating,リスク評価レベル,The security team is checking the risk rating.,"[""risk_governance"", ""intermediate""]"
vocab_0016,vocabulary,risk_governance,リスク・ガバナンス,beginner,risk assessment,リスク評価,This risk assessment requires follow-up by Friday.,"[""risk_governance"", ""beginner""]"
vocab_0017,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,risk treatment,リスク対応,Please confirm the current risk treatment.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0018,vocabulary,risk_governance,リスク・ガバナンス,intermediate,risk acceptance,リスク受容,We need to review the risk acceptance before the meeting.,"[""risk_governance"", ""intermediate""]"
vocab_0019,vocabulary,risk_governance,リスク・ガバナンス,beginner,risk mitigation,リスク軽減,This risk mitigation requires follow-up by Friday.,"[""risk_governance"", ""beginner""]"
vocab_0020,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,risk appetite,リスク許容度,The security team is checking the risk appetite.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0021,vocabulary,risk_governance,リスク・ガバナンス,intermediate,control,管理策,The control may affect the incident response plan.,"[""risk_governance"", ""intermediate""]"
vocab_0022,vocabulary,risk_governance,リスク・ガバナンス,beginner,compensating control,代替管理策,Please confirm the current compensating control.,"[""risk_governance"", ""beginner""]"
vocab_0023,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,control effectiveness,管理策の有効性,The control effectiveness may affect the incident response plan.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0024,vocabulary,risk_governance,リスク・ガバナンス,intermediate,security posture,セキュリティ態勢,We should document the security posture clearly.,"[""risk_governance"", ""intermediate""]"
vocab_0025,vocabulary,risk_governance,リスク・ガバナンス,beginner,security baseline,セキュリティ基準,We need to review the security baseline before the meeting.,"[""risk_governance"", ""beginner""]"
vocab_0026,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,defense in depth,多層防御,The defense in depth may affect the incident response plan.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0027,vocabulary,risk_governance,リスク・ガバナンス,intermediate,acceptable risk,許容可能なリスク,Please confirm the current acceptable risk.,"[""risk_governance"", ""intermediate""]"
vocab_0028,vocabulary,risk_governance,リスク・ガバナンス,beginner,risk register,リスク登録簿,This risk register requires follow-up by Friday.,"[""risk_governance"", ""beginner""]"
vocab_0029,vocabulary,risk_governance,リスク・ガバナンス,lower_intermediate,policy exception,ポリシー例外,This policy exception requires follow-up by Friday.,"[""risk_governance"", ""lower_intermediate""]"
vocab_0030,vocabulary,risk_governance,リスク・ガバナンス,intermediate,governance,ガバナンス,We need to review the governance before the meeting.,"[""risk_governance"", ""intermediate""]"
vocab_0031,vocabulary,incident_response,インシデント対応,beginner,incident,インシデント,We should document the incident clearly.,"[""incident_response"", ""beginner""]"
vocab_0032,vocabulary,incident_response,インシデント対応,lower_intermediate,security event,セキュリティイベント,We should document the security event clearly.,"[""incident_response"", ""lower_intermediate""]"
vocab_0033,vocabulary,incident_response,インシデント対応,intermediate,alert,アラート,The alert may affect the incident response plan.,"[""incident_response"", ""intermediate""]"
vocab_0034,vocabulary,incident_response,インシデント対応,beginner,triage,トリアージ,We need to review the triage before the meeting.,"[""incident_response"", ""beginner""]"
vocab_0035,vocabulary,incident_response,インシデント対応,lower_intermediate,investigation,調査,We need to review the investigation before the meeting.,"[""incident_response"", ""lower_intermediate""]"
vocab_0036,vocabulary,incident_response,インシデント対応,intermediate,containment,封じ込め,Please confirm the current containment.,"[""incident_response"", ""intermediate""]"
vocab_0037,vocabulary,incident_response,インシデント対応,beginner,eradication,根絶,Please confirm the current eradication.,"[""incident_response"", ""beginner""]"
vocab_0038,vocabulary,incident_response,インシデント対応,lower_intermediate,recovery,復旧,This recovery requires follow-up by Friday.,"[""incident_response"", ""lower_intermediate""]"
vocab_0039,vocabulary,incident_response,インシデント対応,intermediate,lessons learned,教訓,The lessons learned may affect the incident response plan.,"[""incident_response"", ""intermediate""]"
vocab_0040,vocabulary,incident_response,インシデント対応,beginner,root cause,根本原因,This root cause requires follow-up by Friday.,"[""incident_response"", ""beginner""]"
vocab_0041,vocabulary,incident_response,インシデント対応,lower_intermediate,timeline,時系列,We need to review the timeline before the meeting.,"[""incident_response"", ""lower_intermediate""]"
vocab_0042,vocabulary,incident_response,インシデント対応,intermediate,scope,範囲,Please confirm the current scope.,"[""incident_response"", ""intermediate""]"
vocab_0043,vocabulary,incident_response,インシデント対応,beginner,severity,重大度,This severity requires follow-up by Friday.,"[""incident_response"", ""beginner""]"
vocab_0044,vocabulary,incident_response,インシデント対応,lower_intermediate,priority,優先度,The priority may affect the incident response plan.,"[""incident_response"", ""lower_intermediate""]"
vocab_0045,vocabulary,incident_response,インシデント対応,intermediate,escalation,エスカレーション,This escalation requires follow-up by Friday.,"[""incident_response"", ""intermediate""]"
