id,type,function,level,sentence_en,meaning_ja,tags
phrase_0001,meeting_phrase,聞き返し・速度調整,beginner,"Sorry, could you say that again?",すみません、もう一度言っていただけますか。,"[""聞き返し・速度調整"", ""beginner""]"
phrase_0002,meeting_phrase,聞き返し・速度調整,lower_intermediate,"Could you speak a little more slowly, please?",もう少しゆっくり話していただけますか。,"[""聞き返し・速度調整"", ""lower_intermediate""]"
phrase_0003,meeting_phrase,聞き返し・速度調整,intermediate,"I caught the first part, but not the last part.",前半は聞き取れましたが、後半が分かりませんでした。,"[""聞き返し・速度調整"", ""intermediate""]"
phrase_0004,meeting_phrase,聞き返し・速度調整,beginner,Could you spell the domain name?,ドメイン名の綴りを教えていただけますか。,"[""聞き返し・速度調整"", ""beginner""]"
phrase_0005,meeting_phrase,聞き返し・速度調整,lower_intermediate,Could you put that in the chat?,それをチャットに入力していただけますか。,"[""聞き返し・速度調整"", ""lower_intermediate""]"
phrase_0006,meeting_phrase,聞き返し・速度調整,intermediate,"Sorry, the audio cut out for a moment.",すみません、一瞬音声が途切れました。,"[""聞き返し・速度調整"", ""intermediate""]"
phrase_0007,meeting_phrase,聞き返し・速度調整,beginner,Did you say fifteen or fifty?,15と言いましたか、それとも50ですか。,"[""聞き返し・速度調整"", ""beginner""]"
phrase_0008,meeting_phrase,聞き返し・速度調整,lower_intermediate,Could you explain that in simpler words?,それをもう少し簡単に説明していただけますか。,"[""聞き返し・速度調整"", ""lower_intermediate""]"
phrase_0009,meeting_phrase,確認・明確化,intermediate,"Let me confirm: the server is isolated, right?",確認ですが、サーバーは隔離済みですね。,"[""確認・明確化"", ""intermediate""]"
phrase_0010,meeting_phrase,確認・明確化,beginner,"Just to make sure, only two users are affected, correct?",念のため、影響を受けた利用者は2人だけですね。,"[""確認・明確化"", ""beginner""]"
phrase_0011,meeting_phrase,確認・明確化,lower_intermediate,Do we know when the activity started?,活動がいつ始まったか分かっていますか。,"[""確認・明確化"", ""lower_intermediate""]"
phrase_0012,meeting_phrase,確認・明確化,intermediate,Has the root cause been confirmed?,根本原因は確認できていますか。,"[""確認・明確化"", ""intermediate""]"
phrase_0013,meeting_phrase,確認・明確化,beginner,Are we treating this as a security incident?,これはセキュリティインシデントとして扱っていますか。,"[""確認・明確化"", ""beginner""]"
phrase_0014,meeting_phrase,確認・明確化,lower_intermediate,Is this based on confirmed evidence or an assumption?,これは確認済みの証拠に基づいていますか、それとも推測ですか。,"[""確認・明確化"", ""lower_intermediate""]"
phrase_0015,meeting_phrase,状況報告,intermediate,We detected a suspicious login at 8:40 this morning.,今朝8時40分に不審なログインを検知しました。,"[""状況報告"", ""intermediate""]"
phrase_0016,meeting_phrase,状況報告,beginner,"At this point, the impact appears to be limited.",現時点では影響は限定的に見えます。,"[""状況報告"", ""beginner""]"
phrase_0017,meeting_phrase,状況報告,lower_intermediate,The investigation is still in progress.,調査はまだ進行中です。,"[""状況報告"", ""lower_intermediate""]"
phrase_0018,meeting_phrase,状況報告,intermediate,We have isolated the affected endpoint.,影響を受けた端末を隔離しました。,"[""状況報告"", ""intermediate""]"
phrase_0019,meeting_phrase,状況報告,beginner,The affected account has been disabled.,影響を受けたアカウントを無効化しました。,"[""状況報告"", ""beginner""]"
phrase_0020,meeting_phrase,状況報告,lower_intermediate,We found no evidence of data exfiltration so far.,今のところデータ持ち出しの証拠は見つかっていません。,"[""状況報告"", ""lower_intermediate""]"
phrase_0021,meeting_phrase,提案・推奨,intermediate,I suggest isolating the device first.,まず端末を隔離することを提案します。,"[""提案・推奨"", ""intermediate""]"
phrase_0022,meeting_phrase,提案・推奨,beginner,We should reset the affected passwords immediately.,影響を受けたパスワードを直ちにリセットすべきです。,"[""提案・推奨"", ""beginner""]"
phrase_0023,meeting_phrase,提案・推奨,lower_intermediate,I recommend blocking the sender and the domain.,送信者とドメインをブロックすることを推奨します。,"[""提案・推奨"", ""lower_intermediate""]"
phrase_0024,meeting_phrase,提案・推奨,intermediate,Our first priority should be containment.,最優先は封じ込めにすべきです。,"[""提案・推奨"", ""intermediate""]"
phrase_0025,meeting_phrase,提案・推奨,beginner,We should preserve the logs before making changes.,変更前にログを保全すべきです。,"[""提案・推奨"", ""beginner""]"
phrase_0026,meeting_phrase,提案・推奨,lower_intermediate,I recommend increasing monitoring for seven days.,7日間監視を強化することを推奨します。,"[""提案・推奨"", ""lower_intermediate""]"
phrase_0027,meeting_phrase,意見・賛成・反対,intermediate,I agree with the proposed approach.,提案された方法に賛成です。,"[""意見・賛成・反対"", ""intermediate""]"
phrase_0028,meeting_phrase,意見・賛成・反対,beginner,That makes sense to me.,それは妥当だと思います。,"[""意見・賛成・反対"", ""beginner""]"
phrase_0029,meeting_phrase,意見・賛成・反対,lower_intermediate,"I see your point, but we need more evidence.",おっしゃることは分かりますが、さらに証拠が必要です。,"[""意見・賛成・反対"", ""lower_intermediate""]"
phrase_0030,meeting_phrase,意見・賛成・反対,intermediate,I have a slightly different view.,少し異なる意見があります。,"[""意見・賛成・反対"", ""intermediate""]"
