id,type,category,level,sentence_en,correct_ja,choices_ja,chatgpt_prompt
listening_0001,listening,security_meeting,beginner,"Sorry, could you say that again?",すみません、もう一度言っていただけますか。,"[""すみません、もう一度言っていただけますか。"", ""今のところデータ持ち出しの証拠は見つかっていません。"", ""現時点で確認されたデータ侵害はありません。""]","Read this sentence slowly first, then at normal meeting speed: Sorry, could you say that again?"
listening_0002,listening,security_meeting,lower_intermediate,"Could you speak a little more slowly, please?",もう少しゆっくり話していただけますか。,"[""もう少しゆっくり話していただけますか。"", ""まず端末を隔離することを提案します。"", ""予防的な措置を講じています。""]","Read this sentence slowly first, then at normal meeting speed: Could you speak a little more slowly, please?"
listening_0003,listening,security_meeting,intermediate,"I caught the first part, but not the last part.",前半は聞き取れましたが、後半が分かりませんでした。,"[""前半は聞き取れましたが、後半が分かりませんでした。"", ""影響を受けたパスワードを直ちにリセットすべきです。"", ""緊急メンテナンス時間の承認が必要です。""]","Read this sentence slowly first, then at normal meeting speed: I caught the first part, but not the last part."
listening_0004,listening,security_meeting,beginner,Could you spell the domain name?,ドメイン名の綴りを教えていただけますか。,"[""ドメイン名の綴りを教えていただけますか。"", ""送信者とドメインをブロックすることを推奨します。"", ""影響を受ける製品バージョンを確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Could you spell the domain name?"
listening_0005,listening,security_meeting,lower_intermediate,Could you put that in the chat?,それをチャットに入力していただけますか。,"[""それをチャットに入力していただけますか。"", ""最優先は封じ込めにすべきです。"", ""修正版はいつ利用可能になりますか。""]","Read this sentence slowly first, then at normal meeting speed: Could you put that in the chat?"
listening_0006,listening,security_meeting,intermediate,"Sorry, the audio cut out for a moment.",すみません、一瞬音声が途切れました。,"[""すみません、一瞬音声が途切れました。"", ""変更前にログを保全すべきです。"", ""暫定的な回避策はありますか。""]","Read this sentence slowly first, then at normal meeting speed: Sorry, the audio cut out for a moment."
listening_0007,listening,security_meeting,beginner,Did you say fifteen or fifty?,15と言いましたか、それとも50ですか。,"[""15と言いましたか、それとも50ですか。"", ""7日間監視を強化することを推奨します。"", ""調査結果を書面で提供してください。""]","Read this sentence slowly first, then at normal meeting speed: Did you say fifteen or fifty?"
listening_0008,listening,security_meeting,lower_intermediate,Could you explain that in simpler words?,それをもう少し簡単に説明していただけますか。,"[""それをもう少し簡単に説明していただけますか。"", ""提案された方法に賛成です。"", ""本日の緊急電話会議に参加できますか。""]","Read this sentence slowly first, then at normal meeting speed: Could you explain that in simpler words?"
listening_0009,listening,security_meeting,intermediate,"Let me confirm: the server is isolated, right?",確認ですが、サーバーは隔離済みですね。,"[""確認ですが、サーバーは隔離済みですね。"", ""それは妥当だと思います。"", ""解決まで2時間ごとの更新が必要です。""]","Read this sentence slowly first, then at normal meeting speed: Let me confirm: the server is isolated, right?"
listening_0010,listening,security_meeting,beginner,"Just to make sure, only two users are affected, correct?",念のため、影響を受けた利用者は2人だけですね。,"[""念のため、影響を受けた利用者は2人だけですね。"", ""おっしゃることは分かりますが、さらに証拠が必要です。"", ""利用者アカウント が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Just to make sure, only two users are affected, correct?"
listening_0011,listening,security_meeting,lower_intermediate,Do we know when the activity started?,活動がいつ始まったか分かっていますか。,"[""活動がいつ始まったか分かっていますか。"", ""少し異なる意見があります。"", ""顧客データ が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Do we know when the activity started?"
listening_0012,listening,security_meeting,intermediate,Has the root cause been confirmed?,根本原因は確認できていますか。,"[""根本原因は確認できていますか。"", ""運用影響を懸念しています。"", ""本番サーバー が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Has the root cause been confirmed?"
listening_0013,listening,security_meeting,beginner,Are we treating this as a security incident?,これはセキュリティインシデントとして扱っていますか。,"[""これはセキュリティインシデントとして扱っていますか。"", ""決定前に証拠を確認できますか。"", ""VPNサービス が影響を受けているか確認していただけますか。""]","Read this sentence slowly first, then at normal meeting speed: Are we treating this as a security incident?"
